  -4.6900000e+01   0.0000000e+00
  -4.6700000e+01   2.6446941e-03
  -4.6500000e+01   7.5601436e-03
  -4.6300000e+01   7.8924785e-03
  -4.6100000e+01   6.6015420e-03
  -4.5900000e+01   4.7937647e-03
  -4.5700000e+01   1.1187266e-03
  -4.5500000e+01  -2.5612636e-03
  -4.5300000e+01  -4.7987092e-03
  -4.5100000e+01  -6.6945794e-03
  -4.4900000e+01  -9.9421003e-03
  -4.4700000e+01  -1.3103691e-02
  -4.4500000e+01  -1.6397974e-02
  -4.4300000e+01  -2.0343258e-02
  -4.4100000e+01  -2.3398016e-02
  -4.3900000e+01  -2.7209596e-02
  -4.3700000e+01  -3.1723698e-02
  -4.3500000e+01  -3.4387759e-02
  -4.3300000e+01  -3.4639950e-02
  -4.3100000e+01  -3.6909678e-02
  -4.2900000e+01  -4.0965617e-02
  -4.2700000e+01  -4.2367746e-02
  -4.2500000e+01  -4.2778149e-02
  -4.2300000e+01  -4.5738346e-02
  -4.2100000e+01  -5.0086483e-02
  -4.1900000e+01  -5.4034979e-02
  -4.1700000e+01  -5.8057181e-02
  -4.1500000e+01  -6.1916464e-02
  -4.1300000e+01  -6.5533598e-02
  -4.1100000e+01  -7.0267222e-02
  -4.0900000e+01  -7.4877426e-02
  -4.0700000e+01  -7.7845109e-02
  -4.0500000e+01  -8.1206939e-02
  -4.0300000e+01  -8.5312427e-02
  -4.0100000e+01  -9.1464545e-02
  -3.9900000e+01  -9.8271871e-02
  -3.9700000e+01  -1.0296353e-01
  -3.9500000e+01  -1.0592435e-01
  -3.9300000e+01  -1.0971001e-01
  -3.9100000e+01  -1.1398440e-01
  -3.8900000e+01  -1.1854754e-01
  -3.8700000e+01  -1.2446357e-01
  -3.8500000e+01  -1.2957285e-01
  -3.8300000e+01  -1.3343022e-01
  -3.8100000e+01  -1.3715861e-01
  -3.7900000e+01  -1.4040215e-01
  -3.7700000e+01  -1.4260562e-01
  -3.7500000e+01  -1.4429875e-01
  -3.7300000e+01  -1.4792352e-01
  -3.7100000e+01  -1.5467454e-01
  -3.6900000e+01  -1.6376269e-01
  -3.6700000e+01  -1.7162419e-01
  -3.6500000e+01  -1.7606998e-01
  -3.6300000e+01  -1.8042376e-01
  -3.6100000e+01  -1.8623314e-01
  -3.5900000e+01  -1.9450246e-01
  -3.5700000e+01  -2.0312493e-01
  -3.5500000e+01  -2.1043953e-01
  -3.5300000e+01  -2.1762436e-01
  -3.5100000e+01  -2.2472008e-01
  -3.4900000e+01  -2.3017519e-01
  -3.4700000e+01  -2.3358941e-01
  -3.4500000e+01  -2.3701984e-01
  -3.4300000e+01  -2.4383463e-01
  -3.4100000e+01  -2.5255738e-01
  -3.3900000e+01  -2.6007727e-01
  -3.3700000e+01  -2.6820363e-01
  -3.3500000e+01  -2.7671026e-01
  -3.3300000e+01  -2.8376559e-01
  -3.3100000e+01  -2.9101342e-01
  -3.2900000e+01  -2.9894807e-01
  -3.2700000e+01  -3.0697379e-01
  -3.2500000e+01  -3.1424452e-01
  -3.2300000e+01  -3.2058243e-01
  -3.2100000e+01  -3.2694984e-01
  -3.1900000e+01  -3.3185162e-01
  -3.1700000e+01  -3.3608859e-01
  -3.1500000e+01  -3.4197558e-01
  -3.1300000e+01  -3.5060760e-01
  -3.1100000e+01  -3.5903195e-01
  -3.0900000e+01  -3.6555223e-01
  -3.0700000e+01  -3.7194243e-01
  -3.0500000e+01  -3.7986194e-01
  -3.0300000e+01  -3.8946542e-01
  -3.0100000e+01  -4.0091029e-01
  -2.9900000e+01  -4.1256756e-01
  -2.9700000e+01  -4.2374148e-01
  -2.9500000e+01  -4.3556412e-01
  -2.9300000e+01  -4.4694973e-01
  -2.9100000e+01  -4.5626000e-01
  -2.8900000e+01  -4.6494747e-01
  -2.8700000e+01  -4.7519180e-01
  -2.8500000e+01  -4.8748016e-01
  -2.8300000e+01  -5.0141993e-01
  -2.8100000e+01  -5.1521639e-01
  -2.7900000e+01  -5.2794515e-01
  -2.7700000e+01  -5.4004058e-01
  -2.7500000e+01  -5.5274388e-01
  -2.7300000e+01  -5.6466277e-01
  -2.7100000e+01  -5.7557827e-01
  -2.6900000e+01  -5.8523309e-01
  -2.6700000e+01  -5.9338051e-01
  -2.6500000e+01  -6.0074166e-01
  -2.6300000e+01  -6.0682971e-01
  -2.6100000e+01  -6.0936629e-01
  -2.5900000e+01  -6.0830152e-01
  -2.5700000e+01  -6.0654578e-01
  -2.5500000e+01  -6.0364543e-01
  -2.5300000e+01  -5.9917776e-01
  -2.5100000e+01  -5.9376598e-01
  -2.4900000e+01  -5.8701592e-01
  -2.4700000e+01  -5.7856795e-01
  -2.4500000e+01  -5.6749753e-01
  -2.4300000e+01  -5.5424670e-01
  -2.4100000e+01  -5.3852116e-01
  -2.3900000e+01  -5.1931450e-01
  -2.3700000e+01  -4.9677658e-01
  -2.3500000e+01  -4.7112141e-01
  -2.3300000e+01  -4.4172928e-01
  -2.3100000e+01  -4.0802417e-01
  -2.2900000e+01  -3.7214178e-01
  -2.2700000e+01  -3.3374508e-01
  -2.2500000e+01  -2.9181204e-01
  -2.2300000e+01  -2.4764461e-01
  -2.2100000e+01  -1.9867898e-01
  -2.1900000e+01  -1.4531516e-01
  -2.1700000e+01  -8.9322358e-02
  -2.1500000e+01  -3.2768849e-02
  -2.1300000e+01   2.0762770e-02
  -2.1100000e+01   7.3064457e-02
  -2.0900000e+01   1.2519879e-01
  -2.0700000e+01   1.7679008e-01
  -2.0500000e+01   2.2591023e-01
  -2.0300000e+01   2.7179803e-01
  -2.0100000e+01   3.1734312e-01
  -1.9900000e+01   3.6368057e-01
  -1.9700000e+01   4.0998207e-01
  -1.9500000e+01   4.5572093e-01
  -1.9300000e+01   4.9943224e-01
  -1.9100000e+01   5.4172925e-01
  -1.8900000e+01   5.8343580e-01
  -1.8700000e+01   6.2535426e-01
  -1.8500000e+01   6.6607406e-01
  -1.8300000e+01   7.0455932e-01
  -1.8100000e+01   7.4366526e-01
  -1.7900000e+01   7.8374435e-01
  -1.7700000e+01   8.2286905e-01
  -1.7500000e+01   8.5960743e-01
  -1.7300000e+01   8.9479284e-01
  -1.7100000e+01   9.2935879e-01
  -1.6900000e+01   9.6283193e-01
  -1.6700000e+01   9.9508876e-01
  -1.6500000e+01   1.0268130e+00
  -1.6300000e+01   1.0583816e+00
  -1.6100000e+01   1.0886113e+00
  -1.5900000e+01   1.1164029e+00
  -1.5700000e+01   1.1430175e+00
  -1.5500000e+01   1.1696909e+00
  -1.5300000e+01   1.1953570e+00
  -1.5100000e+01   1.2192094e+00
  -1.4900000e+01   1.2435526e+00
  -1.4700000e+01   1.2681168e+00
  -1.4500000e+01   1.2908683e+00
  -1.4300000e+01   1.3127934e+00
  -1.4100000e+01   1.3350494e+00
  -1.3900000e+01   1.3576616e+00
  -1.3700000e+01   1.3810454e+00
  -1.3500000e+01   1.4038356e+00
  -1.3300000e+01   1.4248997e+00
  -1.3100000e+01   1.4450408e+00
  -1.2900000e+01   1.4639272e+00
  -1.2700000e+01   1.4827983e+00
  -1.2500000e+01   1.5041143e+00
  -1.2300000e+01   1.5274648e+00
  -1.2100000e+01   1.5533335e+00
  -1.1900000e+01   1.5815952e+00
  -1.1700000e+01   1.6110049e+00
  -1.1500000e+01   1.6449696e+00
  -1.1300000e+01   1.6843695e+00
  -1.1100000e+01   1.7240985e+00
  -1.0900000e+01   1.7588017e+00
  -1.0700000e+01   1.7860098e+00
  -1.0500000e+01   1.8068986e+00
  -1.0300000e+01   1.8280123e+00
  -1.0100000e+01   1.8593424e+00
  -9.9000000e+00   1.9066177e+00
